Group.1,Group.2,Group.3,x,,,,,
17,2010,Helisoma trivolvis,98.18903,,All Terrestrial,All Macrophytes,NA,NA
18,2010,Helisoma trivolvis,98.69278,,All Terrestrial,Periphyton,NA,NA
1,2012,Helisoma trivolvis,89.59019,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,Helisoma trivolvis,91.45021,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,Helisoma trivolvis,93.80559,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,Helisoma trivolvis,89.65008,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,Helisoma trivolvis,88.60882,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,Helisoma trivolvis,91.99782,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,Helisoma trivolvis,98.30058,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,Helisoma trivolvis,91.51009,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,Helisoma trivolvis,99.98649,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,Helisoma trivolvis,91.89684,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,Helisoma trivolvis,97.01568,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,Helisoma trivolvis,91.21379,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,Helisoma trivolvis,98.49241,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,Helisoma trivolvis,91.10981,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,Helisoma trivolvis,95.87917,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,Helisoma trivolvis,91.66699,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,Helisoma trivolvis,98.7993,,All Terrestrial,All Macrophytes,NA,NA
18,2012,Helisoma trivolvis,90.82191,,All Terrestrial,Periphyton,NA,NA
1,2010,FHM,308.744,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,FHM,304.0138,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,FHM,309.775,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,FHM,303.9851,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,FHM,308.426,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,FHM,304.0499,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,FHM,309.507,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,FHM,303.567,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,FHM,310.2074,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,FHM,343.2636,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,FHM,350.8935,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,FHM,343.2237,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,FHM,350.3679,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,FHM,342.9261,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,FHM,350.236,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,FHM,343.168,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,FHM,350.5055,,All Terrestrial,All Macrophytes,NA,NA
18,2010,FHM,342.5823,,All Terrestrial,Periphyton,NA,NA
1,2012,FHM,255.47,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,FHM,256.6556,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,FHM,256.6061,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,FHM,255.3469,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,FHM,254.9458,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,FHM,256.5203,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,FHM,256.6105,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,FHM,256.3842,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,FHM,256.3567,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,FHM,295.9943,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,FHM,311.5996,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,FHM,296.0681,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,FHM,311.4689,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,FHM,295.285,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,FHM,311.1831,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,FHM,295.7755,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,FHM,311.409,,All Terrestrial,All Macrophytes,NA,NA
18,2012,FHM,294.7721,,All Terrestrial,Periphyton,NA,NA
1,2010,DAC,226.2084,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,DAC,217.1258,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,DAC,227.602,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,DAC,216.9516,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,DAC,226.2588,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,DAC,217.0962,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,DAC,227.5849,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,DAC,216.7792,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,DAC,229.5215,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,DAC,238.0961,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,DAC,252.1004,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,DAC,237.8312,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,DAC,253.1374,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,DAC,237.5967,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,DAC,251.3875,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,DAC,237.7138,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,DAC,252.8531,,All Terrestrial,All Macrophytes,NA,NA
18,2010,DAC,237.1996,,All Terrestrial,Periphyton,NA,NA
1,2012,DAC,219.6242,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,DAC,218.5854,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,DAC,220.684,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,DAC,217.9988,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,DAC,220.6125,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,DAC,218.3078,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,DAC,221.7043,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,DAC,218.9974,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,DAC,230.7838,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,DAC,228.3735,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,DAC,255.1263,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,DAC,228.3191,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,DAC,255.1455,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,DAC,227.8031,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,DAC,254.5476,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,DAC,227.7353,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,DAC,254.9724,,All Terrestrial,All Macrophytes,NA,NA
18,2012,DAC,227.0877,,All Terrestrial,Periphyton,NA,NA
1,2010,CMM,165.2113,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,CMM,164.701,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,CMM,164.6245,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,CMM,164.6825,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,CMM,164.3384,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,CMM,164.7135,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,CMM,164.4709,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,CMM,164.5339,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,CMM,163.8601,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,CMM,177.7536,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,CMM,182.8002,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,CMM,177.3064,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,CMM,182.1223,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,CMM,177.1959,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,CMM,182.0235,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,CMM,177.1991,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,CMM,182.2033,,All Terrestrial,All Macrophytes,NA,NA
18,2010,CMM,176.0776,,All Terrestrial,Periphyton,NA,NA
1,2012,CMM,199.9326,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,CMM,200.794,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,CMM,200.6546,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,CMM,200.375,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,CMM,199.8556,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,CMM,201.0624,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,CMM,201.1528,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,CMM,201.4749,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,CMM,202.7594,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,CMM,228.2067,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,CMM,247.1453,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,CMM,227.7896,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,CMM,246.8399,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,CMM,227.5501,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,CMM,246.5714,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,CMM,227.6597,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,CMM,246.8306,,All Terrestrial,All Macrophytes,NA,NA
18,2012,CMM,226.8203,,All Terrestrial,Periphyton,NA,NA
1,2010,BHD1,124.9282,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,BHD1,120.2477,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,BHD1,127.9312,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,BHD1,119.3529,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,BHD1,124.1081,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,BHD1,119.993,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,BHD1,129.3604,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,BHD1,118.2462,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,BHD1,131.5828,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,BHD1,125.1041,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,BHD1,125.885,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,BHD1,125.3223,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,BHD1,128.4825,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,BHD1,124.876,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,BHD1,125.304,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,BHD1,125.5431,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,BHD1,130.0304,,All Terrestrial,All Macrophytes,NA,NA
18,2010,BHD1,123.8928,,All Terrestrial,Periphyton,NA,NA
1,2012,BHD1,79.26312,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,BHD1,79.17423,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,BHD1,79.15627,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,BHD1,79.08934,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,BHD1,78.40058,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,BHD1,79.33592,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,BHD1,79.0227,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,BHD1,78.84341,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,BHD1,78.3685,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,BHD1,95.63732,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,BHD1,101.12858,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,BHD1,95.0944,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,BHD1,100.21899,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,BHD1,95.10752,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,BHD1,100.18669,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,BHD1,94.85806,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,BHD1,100.13723,,All Terrestrial,All Macrophytes,NA,NA
18,2012,BHD1,93.84367,,All Terrestrial,Periphyton,NA,NA
1,2010,BHD2,25.56668,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,BHD2,25.67103,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,BHD2,25.32864,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,BHD2,25.30356,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,BHD2,25.27412,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,BHD2,25.45068,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,BHD2,25.31129,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,BHD2,25.07742,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,BHD2,25.14407,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,BHD2,26.42957,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,BHD2,26.9041,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,BHD2,26.23703,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,BHD2,27.00822,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,BHD2,25.98862,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,BHD2,26.44468,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,BHD2,26.24407,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,BHD2,26.83116,,All Terrestrial,All Macrophytes,NA,NA
18,2010,BHD2,25.67904,,All Terrestrial,Periphyton,NA,NA
1,2012,BHD2,195.5568,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,BHD2,197.1019,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,BHD2,197.3896,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,BHD2,195.6006,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,BHD2,195.025,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,BHD2,196.99,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,BHD2,197.5101,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,BHD2,197.9365,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,BHD2,202.7879,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,BHD2,206.0509,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,BHD2,212.1432,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,BHD2,205.5345,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,BHD2,211.849,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,BHD2,205.3186,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,BHD2,211.1776,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,BHD2,205.4447,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,BHD2,211.7835,,All Terrestrial,All Macrophytes,NA,NA
18,2012,BHD2,204.4357,,All Terrestrial,Periphyton,NA,NA
