SampleID,Year,Lake,Site,CollectionDate,Location,Depth,Taxon,N,Length,Weight,Tissue,GutID,FishID,VolumeFiltered,Isotopes,Type,Comments
F-1038,2010,Ward,E,24-Jun-10,NA,NA,FHM,NA,76,4.66,Whole,G-0761,NA,NA,NA,NA,NA
F-1039,2010,Ward,E,24-Jun-10,NA,NA,FHM,NA,76,4.418,Whole,G-0762,NA,NA,NA,NA,NA
F-1040,2010,Ward,X,24-Jun-10,NA,NA,YWP,NA,194,86.95,Whole,G-0763,NA,NA,NA,NA,NA
F-1041,2010,Ward,X,24-Jun-10,NA,NA,YWP,NA,154,37.423,Whole,G-0806,NA,NA,NA,NA,NA
F-1042,2010,Ward,A,21-Jul-10,NA,NA,CMM,NA,59,2.196,Whole,G-0745,NA,NA,NA,NA,NA
F-1043,2010,Ward,A,21-Jul-10,NA,NA,CMM,NA,77,5.148,Whole,G-0746,NA,NA,NA,NA,NA
F-1044,2010,Ward,A,21-Jul-10,NA,NA,CMM,NA,69,4.218,Whole,G-0767,NA,NA,NA,NA,NA
F-1045,2010,Ward,E,21-Jul-10,NA,NA,CMM,NA,59,2.3,Whole,G-0802,NA,NA,NA,NA,NA
F-1046,2010,Ward,E,21-Jul-10,NA,NA,CMM,NA,64,3.1,Whole,G-0803,NA,NA,NA,NA,NA
F-1047,2010,Ward,X,21-Jul-10,NA,NA,YWP,NA,118,16.525,Whole,G-0805,NA,NA,NA,NA,NA
F-1048,2010,Ward,X,21-Jul-10,NA,NA,YWP,NA,121,16.7,Whole,G-0764,NA,NA,NA,NA,NA
F-1049,2010,Ward,X,21-Jul-10,NA,NA,PKS,NA,83,11,Whole,G-0807,NA,NA,NA,NA,NA
F-1050,2010,Ward,X,21-Jul-10,NA,NA,PKS,NA,84,11.3,Whole,G-0808,NA,NA,NA,NA,NA
F-1051,2010,Ward,X,21-Jul-10,NA,NA,PKS,NA,62,5.1,Whole,G-0774,NA,NA,NA,NA,NA
F-1052,2010,Ward,X,21-Jul-10,NA,NA,PKS,NA,77,7.34,Whole,G-0775,NA,NA,NA,NA,NA
F-1053,2010,Ward,X,21-Jul-10,NA,NA,YWP,NA,176,59.02,Whole,G-0811,NA,NA,NA,NA,NA
F-1054,2010,Ward,X,21-Jul-10,NA,NA,BHD,NA,180,70.85,Whole,G-0777,NA,NA,NA,NA,NA
F-1055,2010,Ward,B,22-Jul-10,NA,NA,CMM,NA,93,10.65,Whole,G-0787,NA,NA,NA,NA,NA
F-1056,2010,Ward,B,22-Jul-10,NA,NA,PKS,NA,79,9.53,Whole,G-0788,NA,NA,NA,NA,NA
F-1057,2010,Ward,C,22-Jul-10,NA,NA,PKS,NA,82,10.66,Whole,G-0798,NA,NA,NA,NA,NA
F-1058,2010,Ward,D,22-Jul-10,NA,NA,PKS,NA,80,10.61,Whole,G-0781,NA,NA,NA,NA,NA
F-1059,2010,Ward,D,22-Jul-10,NA,NA,PKS,NA,76,9.06,Whole,G-0782,NA,NA,NA,NA,NA
F-1060,2010,Ward,D,22-Jul-10,NA,NA,PKS,NA,67,5.14,Whole,G-0757,NA,NA,NA,NA,NA
F-1061,2010,Ward,E,22-Jul-10,NA,NA,NRP,NA,185,4.88,Whole,G-0768,NA,NA,NA,NA,NA
F-1062,2010,Ward,A,18-Aug-10,NA,NA,YWP,NA,119,15.4,Whole,G-0765,NA,NA,NA,NA,NA
F-1063,2010,Ward,A,18-Aug-10,NA,NA,YWP,NA,127,21,Whole,G-0766,NA,NA,NA,NA,NA
F-1064,2010,Ward,B,18-Aug-10,NA,NA,YWP,NA,122,17.2,Whole,G-0778,NA,NA,NA,NA,NA
F-1065,2010,Ward,B,18-Aug-10,NA,NA,BHD,NA,64,4,Whole,G-0779,NA,NA,NA,NA,NA
F-1066,2010,Ward,B,18-Aug-10,NA,NA,PKS,NA,45,1.5,Whole,G-0750,NA,NA,NA,NA,NA
F-1067,2010,Ward,B,18-Aug-10,NA,NA,PKS,NA,46,1.7,Whole,G-0790,NA,NA,NA,NA,NA
F-1068,2010,Ward,B,18-Aug-10,NA,NA,PKS,NA,40,1.1,Whole,G-0791,NA,NA,NA,NA,NA
F-1069,2010,Ward,B,18-Aug-10,NA,NA,PKS,NA,44,1.5,Whole,G-0792,NA,NA,NA,NA,NA
F-1070,2010,Ward,B,18-Aug-10,NA,NA,PKS,NA,41,1.2,Whole,G-0793,NA,NA,NA,NA,NA
F-1071,2010,Ward,B,18-Aug-10,NA,NA,BHD,NA,60,3,Whole,G-0794,NA,NA,NA,NA,NA
F-1072,2010,Ward,B,18-Aug-10,NA,NA,BHD,NA,51,1.9,Whole,G-0795,NA,NA,NA,NA,NA
F-1073,2010,Ward,B,18-Aug-10,NA,NA,BHD,NA,55,2.3,Whole,G-0796,NA,NA,NA,NA,NA
F-1074,2010,Ward,B,18-Aug-10,NA,NA,BHD,NA,52,2.2,Whole,G-0797,NA,NA,NA,NA,NA
F-1075,2010,Ward,C,18-Aug-10,NA,NA,YWP,NA,123,22.7,Whole,G-0780,NA,NA,NA,NA,NA
F-1076,2010,Ward,C,18-Aug-10,NA,NA,PKS,NA,78,8.4,Whole,G-0753,NA,NA,NA,NA,NA
F-1077,2010,Ward,C,18-Aug-10,NA,NA,PKS,NA,45,1.6,Whole,G-0800,NA,NA,NA,NA,NA
F-1078,2010,Ward,D,18-Aug-10,NA,NA,YWP,NA,124,18.8,Whole,G-0755,NA,NA,NA,NA,NA
F-1079,2010,Ward,E,18-Aug-10,NA,NA,YWP,NA,134,24,Whole,G-0784,NA,NA,NA,NA,NA
F-1080,2010,Ward,E,18-Aug-10,NA,NA,PKS,NA,42,1.2,Whole,G-0769,NA,NA,NA,NA,NA
F-1081,2010,Ward,E,18-Aug-10,NA,NA,BHD,NA,61,3.1,Whole,G-0804,NA,NA,NA,NA,NA
F-1082,2010,Ward,X,18-Aug-10,NA,NA,IWD,NA,62,2,Whole,G-0770,NA,NA,NA,NA,NA
F-1083,2010,Ward,X,18-Aug-10,NA,NA,CMM,NA,86,6.8,Whole,G-0771,NA,NA,NA,NA,NA
F-1084,2010,Ward,X,18-Aug-10,NA,NA,BHD,NA,63,3.8,Whole,G-0744,NA,NA,NA,NA,NA
F-1085,2010,Ward,X,18-Aug-10,NA,NA,PKS,NA,90,12.7,Whole,G-0773,NA,NA,NA,NA,NA
F-1086,2010,Ward,X,18-Aug-10,NA,NA,PKS,NA,43,1.2,Whole,G-0809,NA,NA,NA,NA,NA
F-1087,2010,Ward,X,18-Aug-10,NA,NA,YWP,NA,162,52.5,Whole,G-0810,NA,NA,NA,NA,NA
F-1088,2010,Ward,X,18-Aug-10,NA,NA,YWP,NA,151,37.6,Whole,G-0776,NA,NA,NA,NA,NA
F-1089,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,67,2.8,Whole,NA,,NA,NA,NA,NA
F-1090,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1089,NA,NA,NA,NA
F-1091,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,54,1.7,Whole,NA,,NA,NA,NA,NA
F-1092,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1091,NA,NA,NA,NA
F-1093,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,62,2.2,Whole,NA,Mark,NA,NA,NA,NA
F-1094,2012,Ward,C,20-Jun-12,NA,NA,BYM,NA,,,Guts,NA,F-1093,NA,NA,NA,NA
F-1095,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,57,1.7,Whole,NA,NA,NA,NA,NA,NA
F-1096,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1095,NA,NA,NA,NA
F-1097,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,56,1.5,Whole,NA,,NA,NA,NA,NA
F-1098,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1097,NA,NA,NA,NA
F-1099,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,53,1.4,Whole,NA,,NA,NA,NA,NA
F-1100,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1099,NA,NA,NA,NA
F-1101,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,50,1.2,Whole,NA,,NA,NA,NA,NA
F-1102,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1101,NA,NA,NA,NA
F-1103,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,57,1.7,Whole,NA,,NA,NA,NA,NA
F-1104,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1103,NA,NA,NA,NA
F-1105,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,51,1.2,Whole,NA,,NA,NA,NA,NA
F-1106,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1105,NA,NA,NA,NA
F-1107,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,53,1.3,Whole,NA,,NA,NA,NA,NA
F-1108,2012,Ward,C,20-Jun-12,NA,NA,IWD,NA,,,Guts,NA,F-1107,NA,NA,NA,NA
F-1109,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,59,2,Whole,NA,,NA,NA,NA,NA
F-1110,2012,Ward,C,20-Jun-12,NA,NA,DAC,NA,,,Guts,NA,F-1109,NA,NA,NA,NA
