SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
B-0839,2010,Ward,Littoral,E,0.5,2,25-Jun-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,0.52,-25.52,-150.4,Yes,
B-0861,2010,Ward,Littoral,B,0.5,4,17-Aug-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,-0.84,-24.68,-142.7,Yes,
B-0862,2010,Ward,Littoral,C,0.5,4,17-Aug-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,0.25,-26.37,-148.7,Yes,
B-0864,2010,Ward,Littoral,E,0.5,4,17-Aug-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,0.1,-24.74,-153.9,Yes,
B-0870,2012,Ward,Littoral,A,0,2,18-Jun-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-170.9,No,
B-0871,2012,Ward,Littoral,B,0,2,18-Jun-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-175.3,No,
B-0873,2012,Ward,Littoral,A,0,3,16-Jul-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-148.5,No,
B-0874,2012,Ward,Littoral,B,0,3,16-Jul-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-151,No,
B-0876,2012,Ward,Littoral,A,0,4,13-Aug-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-159.4,No,
B-0877,2012,Ward,Littoral,B,0,4,13-Aug-12,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,NA,NA,-149.2,No,
F-0976,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,,63,2.6,Whole,G-0699,NA,NA,NA,-154.5,No,
F-0977,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,,73,3,Whole,G-0700,NA,NA,NA,-146.7,No,
F-0978,2010,Ward,All,B,NA,1,26-May-10,Fish,FHM,,72,5.2,Whole,G-0701,NA,NA,NA,-193.1,No,
F-0979,2010,Ward,All,B,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,4.8,-31.66,-176.7,Yes,
F-0981,2010,Ward,All,B,NA,1,26-May-10,Fish,DAC,,66,3.8,Whole,G-0704,NA,NA,NA,-199.2,No,
F-0991,2010,Ward,All,C,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,5,-33.37,-187.9,Yes,
F-0992,2010,Ward,All,C,NA,1,26-May-10,Fish,FHM,,71,5.1,Whole,G-0715,NA,NA,NA,-195.9,No,
F-0994,2010,Ward,All,E,NA,1,27-May-10,Fish,FHM,2,NA,NA,Whole,NA,NA,4.39,-28.63,-186.1,Yes,
F-0996,2010,Ward,All,E,NA,1,26-May-10,Fish,FHM,,75,6.3,Whole,G-0719,NA,NA,NA,-193.3,No,
F-0999,2010,Ward,All,A,NA,1,26-May-10,Fish,FHM,,75,5.9,Whole,G-0722,NA,NA,NA,-191.9,No,
F-1003,2010,Ward,All,A,NA,1,26-May-10,Fish,DAC,,56,2.1,Whole,G-0726,NA,NA,NA,-182.9,No,
F-1009,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,60,2.6,Whole,G-0732,NA,NA,NA,-184.9,No,
F-1011,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,,75,5.6,Whole,G-0734,NA,NA,NA,-196.7,No,
F-1012,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,,76,5.5,Whole,G-0735,NA,NA,NA,-192.4,No,
F-1013,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,82,6.5,Whole,G-0736,NA,NA,NA,-167.6,No,
F-1016,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,55,2,Whole,G-0739,NA,NA,NA,-175.3,No,
F-1018,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,54,1.8,Whole,G-0741,NA,NA,NA,-171.6,No,
F-1022,2010,Ward,All,A,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.94,-31.4,-175.7,Yes,
F-1023,2010,Ward,All,A,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,5.87,-31.75,-159.1,Yes,
F-1025,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,,66,2.849,Whole,G-0748,NA,NA,NA,-168.8,No,
F-1026,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,,67,2.776,Whole,G-0749,NA,NA,NA,-177,No,
F-1027,2010,Ward,All,B,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.1,-31.51,-191.4,Yes,
F-1029,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,6.04,-30.61,-164.3,Yes,
F-1030,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,Whole,NA,NA,7.26,-30.94,-150.2,Yes,
F-1032,2010,Ward,All,D,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.88,-30.75,-189.6,Yes,
F-1034,2010,Ward,All,D,NA,2,24-Jun-10,Fish,DAC,,56,1.584,Whole,G-0783,NA,NA,NA,-181.7,No,
F-1035,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,61,3.802,Whole,G-0758,NA,NA,NA,-190.7,No,
F-1036,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,66,2.597,Whole,G-0759,NA,NA,NA,-192.2,No,
F-1037,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,58,1.975,Whole,G-0760,NA,NA,NA,-188.1,No,
F-1038,2010,Ward,All,E,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,Whole,NA,NA,3.86,-29.48,-171.1,Yes,
F-1040,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.74,-29.85,-177.1,Yes,
F-1041,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,Whole,NA,NA,6.19,-28.77,-147,Yes,
F-1042,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,59,2.196,Whole,G-0745,NA,NA,NA,-151.8,No,
F-1043,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,77,5.148,Whole,G-0746,NA,NA,NA,-142.7,No,
F-1044,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,69,4.218,Whole,G-0767,NA,NA,NA,-158.9,No,
F-1045,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,,59,2.3,Whole,G-0802,NA,NA,NA,-167.2,No,
F-1046,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,,64,3.1,Whole,G-0803,NA,NA,NA,-143.1,No,
F-1054,2010,Ward,All,X,NA,3,21-Jul-10,Fish,BHD,,180,70.85,Whole,G-0777,NA,NA,NA,-169.8,No,
F-1055,2010,Ward,All,B,NA,3,22-Jul-10,Fish,CMM,,93,10.65,Whole,G-0787,NA,NA,NA,-161.4,No,
F-1064,2010,Ward,All,B,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,6,-30.56,-160.1,Yes,
F-1065,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,64,4,Whole,G-0779,NA,NA,NA,-159.1,No,
F-1066,2010,Ward,All,B,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,4.05,-27.76,-170.1,Yes,
F-1071,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,60,3,Whole,G-0794,NA,NA,NA,-156.6,No,
F-1072,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,51,1.9,Whole,G-0795,NA,NA,NA,-168,No,
F-1073,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,55,2.3,Whole,G-0796,NA,NA,NA,-165.9,No,
F-1074,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,52,2.2,Whole,G-0797,NA,NA,NA,-180.5,No,
F-1075,2010,Ward,All,C,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,4.68,-26.49,-156.2,Yes,
F-1076,2010,Ward,All,C,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,4.72,-28.28,-160,Yes,
F-1079,2010,Ward,All,E,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.06,-27.55,-161,Yes,
F-1080,2010,Ward,All,E,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,5.8,-30.7,-160.6,Yes,
F-1081,2010,Ward,All,E,NA,4,18-Aug-10,Fish,BHD,,61,3.1,Whole,G-0804,NA,NA,NA,-169,No,
F-1083,2010,Ward,All,X,NA,4,18-Aug-10,Fish,CMM,,86,6.8,Whole,G-0771,NA,NA,NA,-134.4,No,
F-1084,2010,Ward,All,X,NA,4,18-Aug-10,Fish,BHD,,63,3.8,Whole,G-0744,NA,NA,NA,-158.4,No,
F-1095,2012,Ward,All,C,NA,2,20-Jun-12,Fish,DAC,,57,1.7,Whole,NA,NA,NA,NA,-184.5,No,
F-1123,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,,81,6.3,Whole,NA,NA,NA,NA,-207.4,No,
F-1124,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,,NA,NA,Guts,NA,F-1123,NA,NA,-245.3,No,
F-1131,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,,57,1.9,Whole,NA,NA,NA,NA,-179.2,No,
F-1133,2012,Ward,All,C,NA,2,20-Jun-12,Fish,BHD,,95,12.8,Whole,NA,NA,NA,NA,-170.1,No,
F-1143,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,47,1.1,Whole,NA,NA,NA,NA,-168.6,No,
F-1161,2012,Ward,All,B,NA,2,20-Jun-12,Fish,CMM,,53,1.6,Whole,NA,NA,NA,NA,-155,No,
F-1163,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,57,1.7,Whole,NA,NA,NA,NA,-162.8,No,
F-1173,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,,49,1,Whole,NA,NA,NA,NA,-191.5,No,
F-1177,2012,Ward,All,B,NA,2,20-Jun-12,Fish,BHD,,104,13.1,Whole,NA,NA,NA,NA,-153.1,No,
F-1185,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,,63,2.6,Whole,NA,NA,NA,NA,-172.5,No,
F-1189,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,,87,5.5,Whole,NA,NA,NA,NA,-126.6,No,
F-1205,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,82,7.3,Whole,NA,NA,NA,NA,-193.5,No,
F-1206,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,NA,NA,Guts,NA,F-1205,NA,NA,-205.7,No,
F-1209,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,,87,7.2,Whole,NA,NA,NA,NA,-161.7,No,
F-1229,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,,87,7,Whole,NA,NA,NA,NA,-175.3,No,
F-1233,2012,Ward,All,B,NA,2,20-Jun-12,Fish,PKS,,81,10.9,Whole,NA,NA,NA,NA,-189.9,No,
F-1240,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,126,23,Whole,NA,NA,NA,NA,-160.9,No,
F-1242,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,140,35.4,Whole,NA,NA,NA,NA,-154.5,No,
F-1244,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD,,147,35.1,Whole,NA,NA,NA,NA,-156,No,
F-1246,2012,Ward,All,A,NA,3,17-Jul-12,Fish,CMM,,94,8.8,Whole,NA,NA,NA,NA,-164.6,No,
F-1260,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,,59,1.6,Whole,NA,NA,NA,NA,-161.7,No,
F-1262,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,,58,1.8,Whole,NA,NA,NA,NA,-163.1,No,
F-1268,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,49,1.1,Whole,NA,NA,NA,NA,-188.9,No,
F-1270,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,49,1,Whole,NA,NA,NA,NA,-166.9,No,
F-1272,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,81,5.7,Whole,NA,NA,NA,NA,-188.5,No,
F-1273,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,NA,NA,Guts,NA,F-1272,NA,NA,-227,No,
F-1274,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,50,1.2,Whole,NA,NA,NA,NA,-165.6,No,
F-1280,2012,Ward,All,C,NA,3,17-Jul-12,Fish,CMM,,43,0.9,Whole,NA,NA,NA,NA,-149.8,No,
F-1288,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,114,17.8,Whole,NA,NA,NA,NA,-164.8,No,
F-1290,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,103,14,Whole,NA,NA,NA,NA,-170.9,No,
F-1292,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,93,10.4,Whole,NA,NA,NA,NA,-177,No,
F-1300,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,,58,1.8,Whole,NA,NA,NA,NA,-186.3,No,
F-1302,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,,49,1.2,Whole,NA,NA,NA,NA,-164.8,No,
F-1312,2012,Ward,All,A,NA,3,18-Jul-12,Fish,DAC,,46,0.8,Whole,NA,NA,NA,NA,-162.5,No,
F-1316,2012,Ward,All,A,NA,3,18-Jul-12,Fish,CMM,,94,7.3,Whole,NA,NA,NA,NA,-150.1,No,
F-1320,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,52,1.5,Whole,NA,NA,NA,NA,-160.6,No,
F-1322,2012,Ward,All,B,NA,3,18-Jul-12,Fish,CMM,,89,8,Whole,NA,NA,NA,NA,-152,No,
F-1328,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,82,4.8,Whole,NA,NA,NA,NA,-154.3,No,
F-1329,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,NA,NA,Guts,NA,F-1328,NA,NA,-181.4,No,
F-1338,2012,Ward,All,A,NA,3,18-Jul-12,Fish,YWP,,79,5,Whole,NA,NA,NA,NA,-156.2,No,
F-1354,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,148,44,Whole,NA,NA,NA,NA,-142.8,No,
F-1356,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,93,8.7,Whole,NA,NA,NA,NA,-150.1,No,
F-1358,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,49,1.4,Whole,NA,NA,NA,NA,-140.6,No,
F-1360,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,48,1.8,Whole,NA,NA,NA,NA,-142.8,No,
F-1364,2012,Ward,All,A,NA,4,14-Aug-12,Fish,CMM,,62,3.2,Whole,NA,NA,NA,NA,-151.8,No,
F-1366,2012,Ward,All,A,NA,4,14-Aug-12,Fish,BHD,,53,1.9,Whole,NA,NA,NA,NA,-147.7,No,
F-1372,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,,45,0.9,Whole,NA,NA,NA,NA,-148,No,
F-1374,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD,,52,1.8,Whole,NA,NA,NA,NA,-149.1,No,
F-1376,2012,Ward,All,B,NA,4,14-Aug-12,Fish,BHD,,130,29.7,Whole,NA,NA,NA,NA,-164.9,No,
F-1381,2012,Ward,All,B,NA,4,14-Aug-12,Fish,DAC,,NA,NA,Guts,NA,F-1380,NA,NA,-279.8,No,
F-1382,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,46,0.9,Whole,NA,NA,NA,NA,-155.2,No,
F-1384,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,51,1,Whole,NA,NA,NA,NA,-147.4,No,
F-1386,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,52,1.1,Whole,NA,NA,NA,NA,-173.7,No,
F-1388,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,,48,0.8,Whole,NA,NA,NA,NA,-165.5,No,
F-1390,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD,,52,1.7,Whole,NA,NA,NA,NA,-146.8,No,
F-1392,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,83,5.9,Whole,NA,NA,NA,NA,-187.5,No,
F-1393,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,NA,NA,Guts,NA,F-1392,NA,NA,-237.1,No,
F-1394,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,85,6,Whole,NA,NA,NA,NA,-180.7,No,
F-1395,2012,Ward,All,C,NA,4,14-Aug-12,Fish,FHM,,NA,NA,Guts,NA,F-1394,NA,NA,-200.6,No,
F-1400,2012,Ward,All,C,NA,4,14-Aug-12,Fish,PKS,,41,1,Whole,NA,NA,NA,NA,-160.4,No,
F-1402,2012,Ward,All,C,NA,4,14-Aug-12,Fish,BHD,,49,1.5,Whole,NA,NA,NA,NA,-152,No,
F-1406,2012,Ward,All,C,NA,4,14-Aug-12,Fish,DAC,,73,3.3,Whole,NA,NA,NA,NA,-179.8,No,
F-1416,2012,Ward,All,A,NA,4,15-Aug-12,Fish,PKS,,60,4.1,Whole,NA,NA,NA,NA,-178.3,No,
F-1422,2012,Ward,All,A,NA,4,16-Aug-12,Fish,PKS,,64,4.6,Whole,NA,NA,NA,NA,-181.4,No,
G-0702,2010,Ward,All,B,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-199.6,No,
G-0714,2010,Ward,All,C,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-227.7,No,
G-0717,2010,Ward,All,E,NA,1,26-May-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-216,No,
G-0761,2010,Ward,All,E,NA,2,24-Jun-10,Guts,FHM,,NA,NA,Guts,NA,NA,NA,NA,-190.4,No,
G-0801,2010,Ward,All,D,NA,4,18-Aug-10,Guts,YWP,,NA,NA,Guts,NA,NA,NA,NA,-218.6,No,
I-1151,2010,Ward,Epi,A,1,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.27,NA,Yes,
I-1152,2010,Ward,Epi,B,1,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.46,NA,Yes,
I-1153,2010,Ward,Epi,C,1,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.28,NA,Yes,
I-1154,2010,Ward,Epi,D,1,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.76,NA,Yes,
I-1155,2010,Ward,Epi,E,1,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.18,NA,Yes,
I-1156,2010,Ward,Meta,A,3.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.8,NA,Yes,
I-1157,2010,Ward,Meta,B,2.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.94,NA,Yes,
I-1158,2010,Ward,Meta,C,3.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-8.19,NA,Yes,
I-1159,2010,Ward,Meta,D,3.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.62,NA,Yes,
I-1160,2010,Ward,Meta,E,3.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-7.65,NA,Yes,
I-1161,2010,Ward,Littoral,E,0.5,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.95,NA,Yes,
I-1162,2010,Ward,Hypo,E,6,2,22-Jun-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-10.16,NA,Yes,
I-1173,2010,Ward,Epi,A,1,2,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.82,NA,Yes,
I-1174,2010,Ward,Epi,B,1,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.3,NA,Yes,
I-1175,2010,Ward,Epi,C,1,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.44,NA,Yes,
I-1176,2010,Ward,Epi,D,1,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.31,NA,Yes,
I-1177,2010,Ward,Epi,E,1,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.08,NA,Yes,
I-1178,2010,Ward,Meta,A,2.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-6.4,NA,Yes,
I-1179,2010,Ward,Meta,B,2.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.14,NA,Yes,
I-1180,2010,Ward,Meta,C,2.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.33,NA,Yes,
I-1181,2010,Ward,Meta,D,2.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.06,NA,Yes,
I-1182,2010,Ward,Meta,E,2.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-5.01,NA,Yes,
I-1183,2010,Ward,Littoral,E,0.5,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-4.84,NA,Yes,
I-1184,2010,Ward,Hypo,E,6,3,21-Jul-10,DIC,DIC,NA,NA,NA,NA,NA,NA,NA,-10.49,NA,Yes,
O-0355,2010,Ward,Epi,E,1,2,22-Jun-10,DOM,DOM,0,NA,NA,NA,NA,NA,-6.14,-28.09,-118.8,Yes,
O-0360,2010,Ward,Meta,E,3.5,2,22-Jun-10,DOM,DOM,0,NA,NA,NA,NA,NA,-6.82,-28.53,-122.3,Yes,
O-0362,2010,Ward,Hypo,E,6,2,22-Jun-10,DOM,DOM,0,NA,NA,NA,NA,NA,-0.94,-28.63,-124.7,Yes,
O-0375,2010,Ward,Epi,A,NA,4,20-Aug-10,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-114.6,No,
O-0377,2010,Ward,Epi,C,NA,4,20-Aug-10,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-115.2,No,
O-0380,2010,Ward,Meta,A,NA,4,20-Aug-10,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-109.5,No,
O-0382,2010,Ward,Meta,C,NA,4,20-Aug-10,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,NA,No,
O-0389,2012,Ward,Epi,B,0.5,2,19-Jun-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-157.7,No,
O-0390,2012,Ward,Meta,B,1.5,2,19-Jun-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-154.7,No,
O-0395,2012,Ward,Epi,B,0.5,3,17-Jul-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-154.4,No,
O-0396,2012,Ward,Meta,B,1.5,3,17-Jul-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-163.2,No,
O-0401,2012,Ward,Epi,B,0.5,4,15-Aug-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-156.8,No,
O-0402,2012,Ward,Meta,B,2,4,15-Aug-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-154.3,No,
O-0405,2012,Aquashade,NA,NA,NA,3,15-Jul-12,DOM,DOM,0,NA,NA,NA,NA,NA,NA,NA,-65.4,No,
P-1138,2010,Ward,Epi,C,Epi,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-170.6,No,
P-1139,2010,Ward,Epi,D,Epi,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-185.5,No,
P-1140,2010,Ward,Epi,E,Epi,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-152.4,No,
P-1143,2010,Ward,Meta,C,Meta,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-176.6,No,
P-1144,2010,Ward,Meta,D,Meta,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-169.7,No,
P-1145,2010,Ward,Meta,E,Meta,1,24-May-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-159.8,No,
P-1160,2010,Ward,Epi,A,1,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-202.2,No,
P-1161,2010,Ward,Epi,B,1,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,-2.06,-30.63,-189.6,Yes,
P-1162,2010,Ward,Epi,C,1,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,-2.31,-30.34,-177,Yes,
P-1163,2010,Ward,Epi,D,1,2,24-Jun-10,POM,POM,0,NA,NA,NA,NA,NA,NA,NA,-185.1,No,
