Lake,Year,DoY,Cyclopoid,Calanoid,Mesocyclops,Holopedium,Diaphanasoma,Leptidora,Nauplii,Bosmina,Epischura,Daphnia,Alona,Chydorus,Ceriodaphnia,Polyphemus
Ward,2012,201,0.002053633,0.104531547,0.086710519,0,0.016078553,0,0.094000317,0.011944986,0,0,0,0,0,0
Ward,2012,208,0,0.028351123,0.12707009,0,0.001763982,0,0.108355573,0.00739656,0,0,0,0,0,0
Ward,2012,215,0,0.044367574,0.051308501,0,0.002332615,0,0.19250204,0.003865306,0,0,0,0,0,0
Ward,2012,222,0.00149985,0.144768112,0.037927609,0,0.007179605,0,0.181668799,0.013407702,0,0,0,0,0,0
Ward,2012,229,0,0.408335364,0.023108593,0,0.00465387,0,0.100401834,0.005805836,0,0,0,0,0,0
Ward,2012,236,0.001246161,0.252791361,0.016989895,0,0.0040367,0,0.074298073,0.006560685,0,0,0,0,0,0
Ward,2012,241,0.002163838,0.060163383,0.02180992,0,0.003368532,0,0.070031073,0.005805685,0,0,0,0,0,0
Paul,2010,138,0.057380245,0.186549235,0,0.934052986,0,0,0.087382337,0,0,0.042058548,0,0,0,0
Paul,2010,145,0.037085235,0.114326852,0.006416634,0.183898604,0,0,0.094837671,0.001240642,0,0.019814147,0,0,0,0
Paul,2010,152,0.056420153,0.105249246,0.029923658,0.316672326,0,0,0.130144616,0,0,0.087080495,0,0,0,0
Paul,2010,159,0.058090237,0.116329074,0.022098413,0.168931004,0,0,0.104597621,0,0.00829185,0.039134866,0,0,0,0
Paul,2010,166,0.051242938,0.178178936,0.057295505,0.246457509,0,0,0.100465554,0,0.019828039,0.029796241,0,0,0,0
Paul,2010,173,0.049160847,0.113495388,0.017540886,0.188155719,0,0,0.097606862,0,0.003772947,0.03012414,0,0,0,0
Paul,2010,180,0.023759317,0.084887575,0.032210114,0.171377302,0,0,0.107060053,0,0,0.177529635,0,0,0,0
Paul,2010,187,0.015576284,0.045263134,0.013276856,0.088452371,0,0,0.125342576,0,0,0.025490202,0,0,0,0
Paul,2010,194,0.018906476,0.045481449,0.088382583,0.121689027,0,0,0.160595521,0,0,0.254537345,0,0,0,0
Paul,2010,201,0.020485609,0.033418899,0.054223116,0.072037612,0,0,0.228080425,0,0,0.155985067,0,0,0,0
Paul,2010,208,0.029803194,0.046958042,0.083326844,0.090238524,0,0,0.290975271,0,0,0.230826299,0,0,0,0
Paul,2010,215,0.037796861,0.020405385,0.023768693,0.026201666,0,0,0.234705165,0,0,0.142627398,0,0,0,0
Paul,2010,222,0.035910437,0.019018529,0.01438962,0.006805633,0,0,0.260167531,0,0,0.061273939,0,0,0,0
Paul,2010,229,0.052257544,0.011884241,0.01863282,0.102460084,0,0,0.200585428,0,0,0.24150162,0,0,0,0
Paul,2010,236,0.099411772,0.012665015,0.056146345,0.115508376,0,0,0.207375663,0,0,0.069912857,0,0,0,0
Ward,2010,139,0.093962514,0.098070803,0.212837162,0,0,0,0.179948262,0.09517389,0,0.002089868,0,0,0,0
Ward,2010,146,0.063592713,0.055002248,0.114703353,0,0.003420126,0,0.357001959,0.032917105,0,0.00265281,0,0,0,0
Ward,2010,153,0.0474894,0.015567751,0.071374972,0,0.000140428,0,0.315355156,0.007484589,0,0.004968076,0,0,0,0
Ward,2010,160,0.046710855,0.216859002,0.723152793,0,0.017664392,0,0.559849583,0.01004706,0,0.00520285,0,0,0,0
Ward,2010,167,0.010220394,0.111545328,0.63178711,0,0.004215082,0,0.408368254,0.002311045,0,0.001751781,0,0,0,0
Ward,2010,174,0.006510092,0.14592593,0.404017713,0,0.026907299,0,0.481761206,0.012088631,0,0.001357773,0,0,0,0
Ward,2010,181,0.006960655,0.275171975,0.210504462,0,0.085966945,0,0.475371715,0.027731562,0,0.00179559,0,0,0,0
Ward,2010,188,0.023889922,0.392783016,0.421651242,0,0.204111478,0,0.602488362,0.025233135,0,0.001757958,0,0,0,0
Ward,2010,195,0.016472588,0.21155144,0.122186897,0,0.119570245,0,0.341099175,0.061663765,0,0.007669064,0,0,0,0
Ward,2010,202,0.010481159,0.134328699,0.165759534,0,0.048099066,0,0.181160186,0.059925168,0,0.00145534,0,0,0,0
Ward,2010,209,0.022349063,0.097924341,0.107521722,0,0.057604529,0,0.160233114,0.074004674,0,0.001369205,0,0,0,0
Ward,2010,216,0.014810882,0.177875827,0.142605277,0,0.091573998,0,0.227670274,0.057690344,0,0.001623771,0,0,0,0
Ward,2010,223,0.018554723,0.169797038,0.351903962,0,0.020485144,0,0.186725975,0.014841178,0,6.89E-05,0,0,0,0
Ward,2010,230,0.008355553,0.139766706,0.097322801,0,0.045508599,0,0.238003197,0.033482801,0,0.000502717,0,0,0,0
Ward,2010,237,0.006093565,0.175997405,0.119302902,0,0.027962729,0,0.152087991,0.052466747,0,0.000608399,0,0,0,0
