Year,Date,Depth_ID,Depth,Chla
2012,2012-04-19,1,0,33.98697
2012,2012-04-19,2,0.4,35.69820
2012,2012-04-19,3,0.8,35.79327
2012,2012-04-19,4,1.4,35.50806
2012,2012-04-19,5,1.9,35.27039
2012,2012-04-19,M,2.5,37.59957
2012,2012-04-19,6,2.8,42.92340
2012,2012-04-26,1,0,36.88655
2012,2012-04-26,2,0.325,35.36546
2012,2012-04-26,3,0.475,35.17532
2012,2012-04-26,4,0.8,35.50806
2012,2012-04-26,5,1.1,34.93765
2012,2012-04-26,6,1.85,35.60313
2012,2012-04-26,M,2.5,40.92696
2012,2012-05-03,1,0,25.19313
2012,2012-05-03,2,0.15,25.38327
2012,2012-05-03,3,0.45,25.38327
2012,2012-05-03,4,0.7,25.71601
2012,2012-05-03,5,0.95,31.70532
2012,2012-05-03,6,1.75,38.21751
2012,2012-05-03,M,2.5,39.12066
2012,2012-05-10,1,0,10.02972
2012,2012-05-10,2,0.2,10.60013
2012,2012-05-10,3,0.4,10.21986
2012,2012-05-10,4,0.85,11.07547
2012,2012-05-10,5,1.2,13.07191
2012,2012-05-10,6,1.9,21.86574
2012,2012-05-10,M,2.5,21.62807
2012,2012-05-17,1,0,11.28145
2012,2012-05-17,2,0.2,11.18639
2012,2012-05-17,3,0.35,11.40821
2012,2012-05-17,4,0.7,11.70926
2012,2012-05-17,5,1.1,11.78849
2012,2012-05-17,6,1.9,21.12104
2012,2012-05-17,M,2.5,22.00834
2012,2012-05-24,1,0,13.61063
2012,2012-05-24,2,0.2,13.32543
2012,2012-05-24,3,0.5,13.49972
2012,2012-05-24,4,0.75,14.57716
2012,2012-05-24,5,1,13.97506
2012,2012-05-24,6,1.8,24.36921
2012,2012-05-24,M,2.5,25.25651
2012,2012-05-31,1,0,17.09647
2012,2012-05-31,2,0.2,17.46090
2012,2012-05-31,3,0.45,21.42209
2012,2012-05-31,4,0.75,19.39396
2012,2012-05-31,5,1,27.56985
2012,2012-05-31,M,1,24.79702
2012,2012-05-31,6,1.75,23.26008
2012,2012-06-07,1,0,11.51913
2012,2012-06-07,2,0.25,9.85543
2012,2012-06-07,3,0.5,8.55616
2012,2012-06-07,4,0.8,10.47337
2012,2012-06-07,5,1,12.75501
2012,2012-06-07,M,1,14.78314
2012,2012-06-07,6,2,22.99072
2012,2012-06-14,1,0,12.16876
2012,2012-06-14,2,0.2,15.10004
2012,2012-06-14,3,0.45,14.40287
2012,2012-06-14,4,0.75,15.60707
2012,2012-06-14,5,0.95,16.24086
2012,2012-06-14,6,1.5,24.67026
2012,2012-06-14,M,1.5,20.21789
2012,2012-06-21,1,0,7.97027
2012,2012-06-21,2,0.2,4.60311
2012,2012-06-21,3,0.35,7.31786
2012,2012-06-21,4,0.85,8.08626
2012,2012-06-21,5,1.15,7.73106
2012,2012-06-21,M,1.5,5.17578
2012,2012-06-21,6,2.1,13.26205
2012,2012-06-28,1,0,7.89778
2012,2012-06-28,2,0.2,7.60057
2012,2012-06-28,3,0.45,8.82552
2012,2012-06-28,4,1,10.36246
2012,2012-06-28,5,1.30,12.48565
2012,2012-06-28,M,1.5,12.65995
2012,2012-06-28,6,1.8,11.48744
2012,2012-07-05,1,0,8.88890
2012,2012-07-05,2,0.2,8.85721
2012,2012-07-05,3,0.45,10.58429
2012,2012-07-05,4,1,14.33949
2012,2012-07-05,5,1.3,14.62469
2012,2012-07-05,M,1.5,16.14579
2012,2012-07-05,6,1.8,22.84811
2012,2012-07-12,1,0,11.17054
2012,2012-07-12,2,0.25,13.45218
2012,2012-07-12,3,0.45,20.53478
2012,2012-07-12,4,0.7,18.45912
2012,2012-07-12,5,0.95,19.15629
2012,2012-07-12,M,1.5,14.45040
2012,2012-07-12,6,1.75,21.94496
2012,2012-07-19,1,0,24.59103
2012,2012-07-19,2,0.2,27.58569
2012,2012-07-19,3,0.4,26.17551
2012,2012-07-19,4,0.7,22.70551
2012,2012-07-19,5,0.95,21.58053
2012,2012-07-19,M,1.5,32.79861
2012,2012-07-19,6,1.8,21.75483
2012,2012-07-26,1,0,30.12085
2012,2012-07-26,2,0.25,30.16838
2012,2012-07-26,3,0.5,31.70532
2012,2012-07-26,4,0.85,18.72848
2012,2012-07-26,5,1.2,20.86752
2012,2012-07-26,6,1.5,34.06619
2012,2012-07-26,M,1.5,32.46587
2012,2012-08-02,1,0,12.77086
2012,2012-08-02,2,0.25,11.13885
2012,2012-08-02,3,0.5,13.48387
2012,2012-08-02,4,0.85,14.89405
2012,2012-08-02,5,1.2,12.89762
2012,2012-08-02,6,1.5,8.30264
2012,2012-08-02,M,1.5,11.70926
2012,2012-08-09,1,0,7.31424
2012,2012-08-09,2,0.25,8.65123
2012,2012-08-09,3,0.5,9.18995
2012,2012-08-09,4,0.9,8.87305
2012,2012-08-09,M,1,8.63538
2012,2012-08-09,5,1.25,8.96812
2012,2012-08-09,6,1.5,8.27095
2012,2012-08-16,1,0,6.77056
2012,2012-08-16,2,0.3,6.61471
2012,2012-08-16,3,0.55,6.35375
2012,2012-08-16,4,0.9,6.23776
2012,2012-08-16,5,1.25,6.68720
2012,2012-08-16,M,2,6.00217
2012,2012-08-16,6,2.2,16.60529
2012,2012-08-23,1,0,10.12479
2012,2012-08-23,2,0.2,10.69520
2012,2012-08-23,3,0.5,10.72689
2012,2012-08-23,4,0.9,10.98040
2012,2012-08-23,5,1.2,12.07369
2012,2012-08-23,M,1.5,12.26383
2012,2012-08-23,6,1.75,11.77264
2012,2012-08-28,1,0,9.58607
2012,2012-08-28,2,0.2,11.20223
2012,2012-08-28,3,0.5,11.75680
2012,2012-08-28,4,0.85,11.75680
2012,2012-08-28,5,1.1,18.95031
2012,2012-08-28,M,1.5,23.24423
2012,2012-08-28,6,2,29.72473
